                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.75408,                0.75053,                 1.0516,                0.98557,                0.98696,                 0.9928,                 0.9095,                0.45393,                0.27816,                0.82529,              0.0089011,              0.0089011,              0.0089011
                    114,                0.74439,                0.73527,                 1.0409,                0.98772,                0.98548,                 0.9928,                0.91166,                0.44476,                0.27803,                0.82365,              0.0088912,              0.0088912,              0.0088912
                    115,                0.75224,                0.74664,                 1.0428,                0.98496,                0.98432,                0.99193,                0.91066,                0.44672,                0.27767,                0.82298,              0.0088813,              0.0088813,              0.0088813
                    116,                  0.748,                0.73944,                 1.0387,                0.98064,                   0.99,                 0.9921,                0.91274,                0.44379,                0.27852,                0.82176,              0.0088714,              0.0088714,              0.0088714
                    117,                0.75667,                  0.747,                 1.0484,                0.98487,                0.98624,                0.99213,                0.91168,                 0.4458,                0.27966,                0.82456,              0.0088615,              0.0088615,              0.0088615
                    118,                0.74474,                0.72871,                 1.0392,                0.98432,                0.98795,                0.99275,                0.91478,                0.43513,                0.27271,                0.82215,              0.0088516,              0.0088516,              0.0088516
                    119,                0.74508,                0.73338,                 1.0408,                 0.9849,                0.98625,                0.99241,                0.91142,                0.44645,                0.27416,                0.82492,              0.0088417,              0.0088417,              0.0088417
                    120,                0.75985,                0.74888,                 1.0462,                 0.9845,                0.98578,                0.99213,                0.91045,                0.44461,                0.27281,                 0.8231,              0.0088318,              0.0088318,              0.0088318
                    121,                0.74208,                0.72499,                 1.0346,                0.98242,                0.98664,                0.99162,                 0.9138,                0.44315,                0.27274,                0.82288,              0.0088219,              0.0088219,              0.0088219
                    122,                0.75599,                0.74445,                 1.0437,                0.98597,                0.98618,                0.99196,                0.91478,                0.43906,                0.27181,                0.82124,               0.008812,               0.008812,               0.008812
                    123,                 0.7493,                0.74059,                 1.0406,                0.98098,                0.98989,                0.99288,                0.91414,                0.43939,                 0.2712,                0.82041,              0.0088021,              0.0088021,              0.0088021
                    124,                0.75163,                0.75008,                 1.0411,                0.98352,                0.99001,                0.99277,                0.91942,                0.42612,                0.26535,                0.81702,              0.0087922,              0.0087922,              0.0087922
                    125,                0.74004,                0.72905,                 1.0336,                0.98413,                0.98488,                0.99265,                0.91986,                0.42749,                0.26708,                0.81763,              0.0087823,              0.0087823,              0.0087823
                    126,                0.74102,                0.73248,                 1.0351,                0.98817,                 0.9854,                0.99257,                0.91971,                0.43277,                0.26633,                0.81864,              0.0087724,              0.0087724,              0.0087724
                    127,                0.74356,                0.71931,                  1.035,                0.98723,                0.98688,                0.99206,                0.92048,                0.42866,                0.26392,                0.81723,              0.0087625,              0.0087625,              0.0087625
                    128,                0.74679,                0.73224,                 1.0366,                0.98473,                0.98643,                0.99171,                0.91762,                0.43166,                0.26556,                0.81784,              0.0087526,              0.0087526,              0.0087526
                    129,                0.74604,                 0.7244,                 1.0355,                0.98532,                0.98522,                0.99091,                0.91827,                0.42608,                0.26418,                0.81745,              0.0087427,              0.0087427,              0.0087427
                    130,                0.75492,                0.74196,                 1.0413,                0.98773,                 0.9869,                0.99201,                0.91747,                0.43311,                0.26482,                0.81869,              0.0087328,              0.0087328,              0.0087328
                    131,                0.73816,                0.72868,                 1.0339,                0.98634,                0.98714,                0.99173,                0.91617,                0.43316,                0.26566,                0.81879,              0.0087229,              0.0087229,              0.0087229
                    132,                0.74459,                0.72543,                 1.0365,                0.98682,                0.98608,                 0.9924,                0.92013,                 0.4275,                0.26201,                 0.8171,               0.008713,               0.008713,               0.008713
                    133,                0.75367,                0.72545,                 1.0373,                0.98537,                0.98525,                0.99254,                 0.9178,                0.42908,                0.26343,                0.81671,              0.0087031,              0.0087031,              0.0087031
                    134,                0.74552,                0.72481,                 1.0404,                0.98398,                0.98613,                0.99215,                0.91789,                0.43093,                0.26504,                0.81821,              0.0086932,              0.0086932,              0.0086932
                    135,                0.73979,                0.71186,                 1.0346,                0.98564,                0.98667,                0.99211,                0.91729,                0.43203,                0.26386,                0.81875,              0.0086833,              0.0086833,              0.0086833
                    136,                 0.7432,                0.72311,                 1.0389,                0.98487,                0.98887,                0.99191,                 0.9224,                0.42339,                0.25971,                0.81702,              0.0086734,              0.0086734,              0.0086734
                    137,                0.74209,                0.72445,                 1.0363,                0.98832,                0.98717,                0.99234,                0.92181,                0.42213,                0.25861,                0.81554,              0.0086635,              0.0086635,              0.0086635
                    138,                0.73923,                0.71973,                 1.0375,                0.98609,                0.98959,                0.99229,                0.92221,                0.42492,                0.25885,                0.81563,              0.0086536,              0.0086536,              0.0086536
                    139,                0.73721,                0.71345,                  1.036,                0.98632,                 0.9883,                0.99284,                0.92048,                0.43033,                0.25909,                0.81707,              0.0086437,              0.0086437,              0.0086437
                    140,                0.73605,                0.70741,                 1.0332,                0.98442,                0.98886,                0.99261,                0.91972,                0.42945,                0.25993,                0.81636,              0.0086338,              0.0086338,              0.0086338
                    141,                0.73407,                0.70605,                 1.0297,                0.98445,                 0.9872,                0.99242,                0.91931,                 0.4294,                0.26091,                0.81609,              0.0086239,              0.0086239,              0.0086239
                    142,                 0.7347,                0.71983,                 1.0369,                  0.985,                0.98489,                0.99271,                0.92098,                0.42817,                0.26116,                0.81608,               0.008614,               0.008614,               0.008614
                    143,                0.73639,                0.70078,                 1.0328,                0.98445,                0.98825,                0.99239,                0.92258,                0.42539,                0.25907,                0.81487,              0.0086041,              0.0086041,              0.0086041
                    144,                0.73994,                0.71664,                 1.0349,                0.98502,                0.98733,                0.99216,                0.92019,                0.42472,                0.25868,                0.81493,              0.0085942,              0.0085942,              0.0085942
                    145,                0.72656,                0.71271,                 1.0295,                0.98662,                0.98707,                0.99257,                0.92167,                0.41984,                0.25507,                0.81314,              0.0085843,              0.0085843,              0.0085843
                    146,                0.73156,                0.70161,                 1.0344,                0.98607,                0.98731,                0.99236,                0.92135,                0.42043,                0.25428,                0.81318,              0.0085744,              0.0085744,              0.0085744
                    147,                0.73819,                0.71224,                 1.0366,                0.98481,                0.98832,                0.99256,                0.92202,                0.42083,                0.25504,                0.81343,              0.0085645,              0.0085645,              0.0085645
                    148,                0.74003,                0.70937,                 1.0342,                0.98805,                0.98778,                0.99263,                0.92179,                0.42066,                0.25421,                0.81229,              0.0085546,              0.0085546,              0.0085546
                    149,                0.73158,                0.70488,                 1.0322,                  0.988,                0.98856,                0.99258,                0.92281,                0.41739,                0.25215,                 0.8114,              0.0085447,              0.0085447,              0.0085447
                    150,                0.72762,                0.69921,                 1.0266,                 0.9886,                0.98936,                0.99281,                0.92411,                0.41751,                0.25207,                0.81237,              0.0085348,              0.0085348,              0.0085348
                    151,                0.73696,                0.69729,                 1.0307,                0.98897,                0.98791,                0.99258,                0.92551,                0.41585,                0.25185,                0.81214,              0.0085249,              0.0085249,              0.0085249
                    152,                0.73998,                0.71092,                 1.0382,                0.98779,                0.98841,                0.99273,                0.92483,                0.41753,                0.25177,                0.81208,               0.008515,               0.008515,               0.008515
                    153,                0.74392,                0.71789,                  1.039,                0.98643,                0.98759,                 0.9929,                0.92417,                0.41972,                0.25445,                0.81324,              0.0085051,              0.0085051,              0.0085051
                    154,                0.73892,                0.70678,                 1.0347,                 0.9856,                0.98863,                0.99313,                0.92436,                0.42311,                0.25373,                0.81405,              0.0084952,              0.0084952,              0.0084952
                    155,                 0.7377,                0.71675,                 1.0371,                0.98559,                0.98679,                0.99324,                0.92247,                0.42308,                 0.2531,                0.81325,              0.0084853,              0.0084853,              0.0084853
